TID,Description of the technique,Ignore
T1003.008,/etc/passwd and /etc/shadow
T1568.002,Domain Generation Algorithms
T1069.002,Domain Groups
T1189,Drive-by Compromise
T1574.006,Dynamic Linker Hijacking
T1568,Dynamic Resolution
T1573,Encrypted Channel
T1499,Endpoint Denial of Service
T1480.001,Environmental Keying
T1611,Escape to Host
T1546,Event Triggered Execution
T1480,Execution Guardrails
T1048,Exfiltration Over Alternative Protocol
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1011.001,Exfiltration Over Bluetooth
T1041,Exfiltration Over C2 Channel
T1011,Exfiltration Over Other Network Medium
T1052,Exfiltration Over Physical Medium
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
T1567,Exfiltration Over Web Service
T1052.001,Exfiltration over USB
T1567.002,Exfiltration to Cloud Storage
T1567.001,Exfiltration to Code Repository
T1190,Exploit Public-Facing Application
T1203,Exploitation for Client Execution
T1212,Exploitation for Credential Access
T1211,Exploitation for Defense Evasion
T1068,Exploitation for Privilege Escalation
T1210,Exploitation of Remote Services
T1491.002,External Defacement
T1090.002,External Proxy
T1133,External Remote Services
T1008,Fallback Channels
T1568.001,Fast Flux DNS
T1070.004,File Deletion
T1071.002,File Transfer Protocols
T1083,File and Directory Discovery
T1222,File and Directory Permissions Modification
T1495,Firmware Corruption
T1606,Forge Web Credentials
T1061,Graphical User Interface
T1200,Hardware Additions
T1564.005,Hidden File System
T1564.001,Hidden Files and Directories
T1564,Hide Artifacts
T1574,Hijack Execution Flow
T1562.003,Impair Command History Logging
T1562,Impair Defenses
T1562.006,Indicator Blocking
T1027.005,Indicator Removal from Tools
T1070,Indicator Removal on Host
T1105,Ingress Tool Transfer
T1490,Inhibit System Recovery
T1056,Input Capture
T1553.004,Install Root Certificate
T1491.001,Internal Defacement
T1090.001,Internal Proxy
T1534,Internal Spearphishing
T1016.001,Internet Connection Discovery
T1059.007,JavaScript
T1001.001,Junk Data
T1547.006,Kernel Modules and Extensions
T1056.001,Keylogging
T1570,Lateral Tool Transfer
T1222.002,Linux and Mac File and Directory Permissions Modification
T1136.001,Local Account
T1087.001,Local Account
T1078.003,Local Accounts
T1074.001,Local Data Staging
T1069.001,Local Groups
T1071.003,Mail Protocols
T1204.002,Malicious File
T1204.001,Malicious Link
T1557,Man-in-the-Middle
T1036.004,Masquerade Task or Service
T1036,Masquerading
T1036.005,Match Legitimate Name or Location
T1556,Modify Authentication Process
T1104,Multi-Stage Channels
T1090.003,Multi-hop Proxy
T1026,Multiband Communication
T1106,Native API
T1498,Network Denial of Service
T1046,Network Service Scanning
T1135,Network Share Discovery
T1040,Network Sniffing
T1095,Non-Application Layer Protocol
T1132.002,Non-Standard Encoding
T1571,Non-Standard Port
T1003,OS Credential Dumping
T1499.001,OS Exhaustion Flood
T1027,Obfuscated Files or Information
T1102.003,One-Way Communication
T1110.002,Password Cracking
T1110.001,Password Guessing
T1555.005,Password Managers
T1201,Password Policy Discovery
T1110.003,Password Spraying
T1069,Permission Groups Discovery
T1566,Phishing
T1556.003,Pluggable Authentication Modules
T1205.001,Port Knocking
T1542,Pre-OS Boot
T1552.004,Private Keys
T1003.007,Proc Filesystem
T1055.009,Proc Memory
T1057,Process Discovery
T1055,Process Injection
T1001.003,Protocol Impersonation
T1572,Protocol Tunneling
T1090,Proxy
T1055.008,Ptrace System Calls
T1059.006,Python
T1037.004,RC Scripts
T1108,Redundant Access
T1498.002,Reflection Amplification
T1219,Remote Access Software
T1074.002,Remote Data Staging
T1563,Remote Service Session Hijacking
T1021,Remote Services
T1018,Remote System Discovery
T1036.003,Rename System Utilities
T1496,Resource Hijacking
T1036.002,Right-to-Left Override
T1014,Rootkit
T1564.006,Run Virtual Instance
T1565.003,Runtime Data Manipulation
T1505.001,SQL Stored Procedures
T1021.004,SSH
T1098.004,SSH Authorized Keys
T1563.001,SSH Hijacking
T1053,Scheduled Task/Job
T1029,Scheduled Transfer
T1113,Screen Capture
T1064,Scripting
T1518.001,Security Software Discovery
T1555.002,Securityd Memory
T1505,Server Software Component
T1499.002,Service Exhaustion Flood
T1489,Service Stop
T1548.001,Setuid and Setgid
T1072,Software Deployment Tools
T1518,Software Discovery
T1153,Source
T1036.006,Space after Filename
T1566.001,Spearphishing Attachment
T1566.002,Spearphishing Link
T1566.003,Spearphishing via Service
T1132.001,Standard Encoding
T1539,Steal Web Session Cookie
T1027.003,Steganography
T1001.002,Steganography
T1565.001,Stored Data Manipulation
T1553,Subvert Trust Controls
T1548.003,Sudo and Sudo Caching
T1195,Supply Chain Compromise
T1573.001,Symmetric Cryptography
T1497.001,System Checks
T1082,System Information Discovery
T1614,System Location Discovery
T1016,System Network Configuration Discovery
T1049,System Network Connections Discovery
T1033,System Owner/User Discovery
T1529,System Shutdown/Reboot
T1543.002,Systemd Service
T1053.006,Systemd Timers
T1497.003,Time Based Evasion
T1070.006,Timestomp
T1205,Traffic Signaling
T1565.002,Transmitted Data Manipulation
T1505.002,Transport Agent
T1546.005,Trap
T1199,Trusted Relationship
T1111,Two-Factor Authentication Interception
T1059.004,Unix Shell
T1546.004,Unix Shell Configuration Modification
T1552,Unsecured Credentials
T1497.002,User Activity Based Checks
T1204,User Execution
T1564.007,VBA Stomping
T1055.014,VDSO Hijacking
T1021.005,VNC
T1078,Valid Accounts
T1497,Virtualization/Sandbox Evasion
T1059.005,Visual Basic
T1606.001,Web Cookies
T1056.003,Web Portal Capture
T1071.001,Web Protocols
T1102,Web Service
T1505.003,Web Shell
T1547.013,XDG Autostart Entries
