TID,Description of the technique,Ignore
T1557.002,ARP Cache Poisoning
T1055.013,Process Doppelgänging
T1055.012,Process Hollowing
T1055,Process Injection
T1001.003,Protocol Impersonation
T1572,Protocol Tunneling
T1090,Proxy
T1216.001,PubPrn
T1059.006,Python
T1012,Query Registry
T1563.002,RDP Hijacking
T1108,Redundant Access
T1498.002,Reflection Amplification
T1547.001,Registry Run Keys / Startup Folder
T1218.009,Regsvcs/Regasm
T1218.010,Regsvr32
T1219,Remote Access Software
T1074.002,Remote Data Staging
T1021.001,Remote Desktop Protocol
T1114.002,Remote Email Collection
T1563,Remote Service Session Hijacking
T1021,Remote Services
T1018,Remote System Discovery
T1036.003,Rename System Utilities
T1091,Replication Through Removable Media
T1496,Resource Hijacking
T1036.002,Right-to-Left Override
T1207,Rogue Domain Controller
T1014,Rootkit
T1564.006,Run Virtual Instance
T1218.011,Rundll32
T1565.003,Runtime Data Manipulation
T1606.002,SAML Tokens
T1134.005,SID-History Injection
T1553.003,SIP and Trust Provider Hijacking
T1021.002,SMB/Windows Admin Shares
T1505.001,SQL Stored Procedures
T1053.005,Scheduled Task
T1053,Scheduled Task/Job
T1029,Scheduled Transfer
T1113,Screen Capture
T1546.002,Screensaver
T1064,Scripting
T1003.002,Security Account Manager
T1518.001,Security Software Discovery
T1547.005,Security Support Provider
T1505,Server Software Component
T1569.002,Service Execution
T1499.002,Service Exhaustion Flood
T1489,Service Stop
T1574.010,Services File Permissions Weakness
T1574.011,Services Registry Permissions Weakness
T1129,Shared Modules
T1051,Shared Webroot
T1213.002,Sharepoint
T1547.009,Shortcut Modification
T1218,Signed Binary Proxy Execution
T1216,Signed Script Proxy Execution
T1558.002,Silver Ticket
T1072,Software Deployment Tools
T1518,Software Discovery
T1027.002,Software Packing
T1566.001,Spearphishing Attachment
T1566.002,Spearphishing Link
T1566.003,Spearphishing via Service
T1132.001,Standard Encoding
T1539,Steal Web Session Cookie
T1558,Steal or Forge Kerberos Tickets
T1027.003,Steganography
T1001.002,Steganography
T1565.001,Stored Data Manipulation
T1553,Subvert Trust Controls
T1195,Supply Chain Compromise
T1573.001,Symmetric Cryptography
T1497.001,System Checks
T1542.001,System Firmware
T1082,System Information Discovery
T1614,System Location Discovery
T1016,System Network Configuration Discovery
T1049,System Network Connections Discovery
T1033,System Owner/User Discovery
T1007,System Service Discovery
T1569,System Services
T1529,System Shutdown/Reboot
T1124,System Time Discovery
T1080,Taint Shared Content
T1221,Template Injection
T1055.003,Thread Execution Hijacking
T1055.005,Thread Local Storage
T1497.003,Time Based Evasion
T1547.003,Time Providers
T1070.006,Timestomp
T1134.001,Token Impersonation/Theft
T1205,Traffic Signaling
T1565.002,Transmitted Data Manipulation
T1505.002,Transport Agent
T1127,Trusted Developer Utilities Proxy Execution
T1199,Trusted Relationship
T1111,Two-Factor Authentication Interception
T1552,Unsecured Credentials
T1550,Use Alternate Authentication Material
T1497.002,User Activity Based Checks
T1204,User Execution
T1564.007,VBA Stomping
T1021.005,VNC
T1078,Valid Accounts
T1218.012,Verclsid
T1125,Video Capture
T1497,Virtualization/Sandbox Evasion
T1059.005,Visual Basic
T1606.001,Web Cookies
T1056.003,Web Portal Capture
T1071.001,Web Protocols
T1102,Web Service
T1505.003,Web Shell
T1059.003,Windows Command Shell
T1555.004,Windows Credential Manager
T1222.001,Windows File and Directory Permissions Modification
T1047,Windows Management Instrumentation
T1546.003,Windows Management Instrumentation Event Subscription
T1021.006,Windows Remote Management
T1543.003,Windows Service
T1547.004,Winlogon Helper DLL
T1220,XSL Script Processing
